data_group,dataset_id,source_name,source_description,source_type,domain,has_audio,has_transcript,has_timestamp,has_speaker_label,has_role_label,has_clinical_fact,has_soap_note,license_status,consent_status,allowed_use,contains_phi,governance_status,retention_policy,target_zone,priority,owner,notes
A_SYNTHETIC_INTERNAL,A_SYNTHETIC_VI_OUTPATIENT_ENCOUNTERS,Synthetic Vietnamese Outpatient Encounter Set,"Bộ hội thoại khám ngoại trú tiếng Việt giả lập để kiểm thử end-to-end audio, transcript, role, fact và note.",synthetic,outpatient,yes,yes,yes,yes,yes,yes,yes,internal,synthetic,training;evaluation;demo,no_or_simulated,approved_internal,keep_versioned,bronze;silver;gold;evaluation;audit,P0_BUILD_NOW,Duy,"Main end-to-end MVP dataset; nên tạo 20-50 encounter với PII giả, accent/noise, caregiver, negation, thuốc/liều/dị ứng."
A_SYNTHETIC_INTERNAL,A_SYNTHETIC_VI_SOAP_LITE,Synthetic Vietnamese Outpatient SOAP-lite Set,Bộ SOAP-lite tiếng Việt được sinh và gán nhãn từ các encounter giả lập để đánh giá note draft.,synthetic,outpatient_note,no,yes,segment,partial,yes,yes,yes,internal,synthetic,training;evaluation;demo,no_or_simulated,approved_internal,keep_versioned,gold;evaluation;audit,P0_BUILD_NOW,Duy,Dùng làm gold/reference note nội bộ; mọi statement trong note cần link về source segment.
A_SYNTHETIC_INTERNAL,A_VOLUNTEER_ACTOR_ENCOUNTERS,Volunteer/Actor Simulated Encounter Set,"Audio đóng vai bác sĩ, bệnh nhân, người nhà hoặc điều dưỡng dựa trên script giả lập, không dùng bệnh nhân thật.",volunteer_simulated,outpatient,yes,yes,yes,yes,yes,yes,yes,internal,consent_required,training;evaluation;demo,no_or_simulated,pending_review,short_retention_required,bronze;silver;gold;evaluation;audit,P0_BUILD_NOW,Duy,Cần consent của volunteer vì có giọng nói thật; không đưa triệu chứng/bệnh án thật của volunteer vào script.
A_SYNTHETIC_INTERNAL,A_SYNTHETIC_VOLUNTEER_ENCOUNTER_SET,Synthetic/Volunteer Encounter Set,"Tập hợp kết hợp synthetic script và audio volunteer để tăng realism cho ASR, diarization và role labeling.",derived_gold,outpatient,yes,yes,yes,yes,yes,yes,yes,internal,consent_required,training;evaluation;demo,no_or_simulated,pending_review,keep_versioned,gold;evaluation;audit,P0_BUILD_NOW,Duy,Dùng làm seed Gold/Evaluation v0.1 sau khi kiểm tra annotation nhất quán.
A_SYNTHETIC_INTERNAL,A_INTERNAL_GOLD_EVALUATION_SET,Internal Gold/Evaluation Hold-out Set,"Tập hold-out nội bộ đã freeze để đo WER, CER, role accuracy, fact F1, source attribution và note usability.",derived_evaluation,outpatient,partial,yes,yes,yes,yes,yes,yes,internal,synthetic,evaluation;demo,no_or_simulated,approved_internal,keep_versioned,gold;evaluation;audit,P0_BUILD_NOW,Duy,Không dùng để train; versioning bắt buộc để tránh leakage giữa training và evaluation.
A_SYNTHETIC_INTERNAL,A_PRIVATE_GOLD_OUTPATIENT_CORPUS_FUTURE,Private Gold Outpatient Encounter Corpus — future only,"Corpus bệnh nhân thật trong tương lai với audio ngoại trú, transcript, role, facts, SOAP và doctor confirmation.",real_patient,outpatient,yes,yes,yes,yes,yes,yes,yes,approval_required,clinical_consent_required,not_allowed_yet,yes,not_approved,follow_hospital_policy,bronze;silver;gold;evaluation;audit,P4_AVOID_FOR_NOW,Duy,"Không ingest trước khi có consent, legal/governance approval, encryption, access control, retention và audit workflow."
B_ASR_SPEECH,B_VIETMED,VietMed,"Nguồn speech y khoa tiếng Việt quan trọng cho ASR y khoa, role prior và benchmark nội bộ.",public,medical_speech,yes,yes,clip,partial,partial,partial,no,clear,not_applicable,training;evaluation;demo,depends_on_source,approved_internal,keep_versioned,bronze;silver;evaluation,P1_INGEST_SUBSET,Duy,"commercial_pilot_status=internal_demo_only; Use now cho MVP kỹ thuật; đã review license."
B_ASR_SPEECH,B_VIETSPEECH,VietSpeech,"Dataset speech tiếng Việt tổng quát quy mô lớn, dùng mở rộng baseline và robustness ASR.",public,general_speech,yes,yes,partial,no,no,no,no,needs_review,not_applicable,evaluation;demo,no,pending_review,keep_versioned,bronze;silver;evaluation,P2_EVALUATE_LATER,Duy,Lệch miền y khoa; cần kiểm tra điều kiện truy cập và license snapshot trước ingest.
B_ASR_SPEECH,asr_common_voice_vi_001,Common Voice vi,public,general_speech,yes,yes,clip,no,no,no,no,clear,not_applicable,training;evaluation;reference_only,unknown,approved_internal,keep_versioned,bronze;silver,P1_INGEST_SUBSET,Duy,Auxiliary Vietnamese ASR robustness only. Do not attempt speaker identification. Do not re-host or re-share dataset.
B_ASR_SPEECH,B_FOSD,FOSD,"Speech ngắn tiếng Việt có transcript và start/end time, phù hợp kiểm thử chunking và timestamp.",public,general_speech,yes,yes,yes,unknown,no,no,no,clear,not_applicable,training;evaluation;demo,no,approved_internal,keep_versioned,bronze;silver;evaluation,P1_INGEST_SUBSET,Duy,"Không y khoa, không dialogue, nhưng hữu ích cho pipeline ASR/alignment."
