split,line_no,segment_id,duration_seconds,start_time,end_time,text_len,word_count,english_token_count,number_count,cs_terms_count,cs_terms_count_given,cs_terms_list_size,topic,audio_present,has_original_video_link,has_original_video_title,suspect,suspect_reasons,segment_text_preview,cs_terms_preview
train,1,Med_CS-0-1,10.0,1781482320000.0,1781482860000.0,127,22,31,1,2,2,2,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,5 alpha reductase là một enzyme chuyển đổi hóc môn nam testosterone thành dạng có hiệu lực hơn được gọi là dihydrotestosterone.,reductase;testosteron
train,2,Med_CS-0-10,11.0,1781494920000.0,1781495520000.0,173,32,53,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Mặc dù chúng không thể chuyển thành dihydrotestosterone, nhưng lượng testosterone quá cao cũng làm dương vật và bìu phát triển lớn hơn và bắt đầu có ngoại hình ",testosteron
train,3,Med_CS-0-11,9.0,1781495520000.0,1781496000000.0,106,22,35,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Ngoài ra, lượng testosterone cao còn làm trầm giọng, phát triển cơ bắp, mọc râu ở mặt và lông ở thân mình.",testosteron
train,4,Med_CS-0-12,8.0,1781496840000.0,1781497260000.0,109,23,31,1,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Chẩn đoán thiếu 5 alpha reductase thường dựa vào những nghi ngờ có cơ quan sinh dục lưỡng giới ở trẻ sơ sinh.,reductase
train,5,Med_CS-0-14,12.0,1781497860000.0,1781498520000.0,178,28,40,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Các nghiên cứu trong phòng lab thường cho thấy mức testosterone huyết thanh bình thường và mức dihydrotestosterone thấp, do đó có tỷ lệ testosterone trên dihydr",testosteron
train,6,Med_CS-0-16,11.0,1781500080000.0,1781500680000.0,148,26,38,1,2,2,2,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Nói tóm lại, thiếu hụt 5 alpha reductase sẽ làm cho thai nhi nam không thể chuyển testosterone thành dạng hoạt động mạnh hơn là dihydrotestosterone,",reductase;testosteron
train,7,Med_CS-0-3,7.0,1781484180000.0,1781484540000.0,101,19,31,0,2,2,2,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Tinh hoàn bắt đầu sản xuất testosterone, là một loại steroid hóc môn nam thuộc nhóm androgen hóc môn.",testosteron;androgen
train,8,Med_CS-0-5,8.0,1781488680000.0,1781489100000.0,130,28,44,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Ở nữ, các tuyến sinh dục phát triển thành buồng trứng, lượng androgen tạo ra rất thấp, vì vậy củ sinh dục sẽ nhỏ tạo thành âm vật.",androgen
train,9,Med_CS-0-6,6.0,1781490120000.0,1781490420000.0,64,13,18,1,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Và điều này làm giảm lượng enzyme 5 alpha reductase được tạo ra.,reductase
train,10,Med_CS-10-1,5.0,1781481600000.0,1781481840000.0,85,19,26,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,"Khi mà bị viêm tuyến Bartholin thì chị em đã cảm giác là sưng đau, rát, khó chịu rồi.",Bartholin
train,11,Med_CS-10-2,6.0,1781481840000.0,1781482140000.0,97,21,33,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Vậy thì cái điều trị mà viêm tuyến Bartholin nó có đau không? Thì hãy cùng bác sĩ Hương tìm hiểu.,Bartholin
train,12,Med_CS-10-3,10.0,1781482140000.0,1781482680000.0,165,38,54,0,1,1,1,Medical Sciences,True,True,True,True,duration_mismatch_start_end_gt_1s,Khi mà các chị em có triệu chứng là sưng đau hoặc khó chịu mà nghĩ đến cái dấu hiệu của viêm tuyến Bartholin thì các chị em thường đến bác sĩ để được khám và tư,Bartholin
